Quest ID,Quest Title,Quest URL,Comments
19,Tharil'zun,https://www.wowhead.com/classic/quest=19,"Subject: ""where to find Tharil'zun""
If you enter Stonewatch Keep from the south after crossing the bridge, look behind the large broken door on the right. He should be in the far corner of the courtyard along with a few other elite blackrock orcs. | Subject: ""<Blank>""
69,58 | Subject: ""How to find Tharil'zun""
Head south across bridge then left at road; dodge the spawn, alternately, swim ESE but there are 25e threshers there, once u get to keep, fight past bridge guards, go behind broken doors, and find two more guards, then a group of three directly across from them and finally the man with three buddies. Each of these mobs can be done without aggroing the other two, but the dying will run for help from these other mobs.

Take a hunter if possible to use human tracking, or a druid in panther mode prowling, much easier to find Tharil.

Just remember he is outside the keep but inside the walls at the SE corner.

Chlorijne @Aerie Peak | Subject: ""Heh, just a tip""
Tharil'zun is located in the southwestern section of stonewatch keep and he is surrounded by quite a few elite buddies."
20,Blackrock Menace,https://www.wowhead.com/classic/quest=20,"Subject: ""Southeast is the way to go""
Definitely easier to complete this quest in the South Eastern part of Redridge Mountains.

Approx Loc: 71,78 | You don't have to kill the elite ones in stonewatch keep to get these. You can get them from the non-elite level 20's or so up the path from lakeshire. | Subject: ""<Blank>""
Easiest place I found for this quest was in the South East.  The orcs there are level 18-20 and there were no elites either."
21,Skirmish at Echo Ridge,https://www.wowhead.com/classic/quest=21,
22,Goretusk Liver Pie,https://www.wowhead.com/classic/quest=22,
23,Ursangous's Paw,https://www.wowhead.com/classic/quest=23,"Other Quest Parts in ""The Ashenvale Hunt"":
Shadumbra's Head: https://www.wowhead.com/classic/quest=24
Sharptalon's Claw: https://www.wowhead.com/classic/quest=2 | Subject: ""we gots its paw""
Pretty much where the following three paths intersect youll find him.
1) west of Silverwind retreat
2) north of Talondeep mine exit from Stonetalon
3) south of that tiny river east of Astrananar

Where those 3 points intersect you will find the bear wandering around.  I'd post the /tloc but its not updated right now to the new patch. 

Oh, and he was 25 not 24. | Subject: ""Here is a pic of him""
http://www.2and2.net/Uploads/Images/Ursangous.jpg"
24,Shadumbra's Head,https://www.wowhead.com/classic/quest=24,"Subject: ""Best Advice""
The best advice I can give you is.... Stand at 57,56 and wait til he comes. 

27-Undead-Rogue | Subject: ""Drops""
For all you who are not getting the drop, it is because you must have started the quest chain first.  Starts with Jorn Skyseer at Camp T in the barrens- called the Ashenvale Hunt. | This is one of three quests involved with killing a named beast in Ashenvale.
Ursangous's Paw: https://www.wowhead.com/classic/quest=23 (can be found west of the befouled elements)
Sharptalon's Claw: https://www.wowhead.com/classic/quest=2 (can be found south of splintertree post) | Subject: ""<Blank>""
lvl 28 beast
Patrols along the woods in a straight line between 54,55 and 57,56."
25,Stonetalon Standstill,https://www.wowhead.com/classic/quest=25,"Subject: ""<Blank>""
48,69 Theres a little structure, it appears as a blue dot on the radar, just walk under it. | The gazebo is at 48,69. | Coordinates for the lake is 52,71. | Subject: ""info""
This quest is a two part quest. First is the gazebo and the second is killing. The loc of Mystal Lake is 47,70. That loc is the island in which the gazebo sits on. On that island are 6 water elementals. Merciless bastards. To explore the gazebo you need to run into it and stand in the glowing light. After that, even prior, you need to kill the 12 mobs listed in the quest.

My results:
You gain 2000 experience.
Your reputation with Orgrimmar has increased.
Received 18 Silver. | Ursangous (https://www.wowhead.com/classic/npc=12678), part of the Ashenvale Hunt, is also located just west of the lake at around 40,65.

He drops an item that begins a turn-in quest:
https://www.wowhead.com/classic/item=16303 | Subject: ""please.""
CAN you please dont say ""oh oh oh, its so easy. blablabla.

just tell HOW to do the quest.

-.- | Subject: ""Tideress""
When you do this quest make sure you kill a lvl 27 elemental called Tideress at the island in the lake. He drops quest item."
26,A Lesson to Learn,https://www.wowhead.com/classic/quest=26,
27,A Lesson to Learn,https://www.wowhead.com/classic/quest=27,
28,Trial of the Lake,https://www.wowhead.com/classic/quest=28,
29,Trial of the Lake,https://www.wowhead.com/classic/quest=29,
30,Trial of the Sea Lion,https://www.wowhead.com/classic/quest=30,
31,Aquatic Form,https://www.wowhead.com/classic/quest=31,
32,Rise of the Silithid,https://www.wowhead.com/classic/quest=32,
33,Wolves Across the Border,https://www.wowhead.com/classic/quest=33,"Subject: ""49,45""
there is alot of lvl 1 wolfs in norshire abby very easy.."
34,An Unwelcome Guest,https://www.wowhead.com/classic/quest=34,"Subject: ""Okay""
He spawns at exactly 15,49

For those who don't have cosmos or some loc mod for their game, go directly west of where you get the quest, through her garden and down the hill a bit.

This is an incredibly easy solo quest as there is nothing else around Bellygrub, so it's just you and him.  He's a lvl 24.

Note: Bellygrub has a SLOW repop, so if you don't find him immediatly, be patient and allow him to repop."
35,Further Concerns,https://www.wowhead.com/classic/quest=35,"Subject: ""...""
74,73 | Subject: ""73,72""
73,72"
36,Westfall Stew,https://www.wowhead.com/classic/quest=36,
37,Find the Lost Guards,https://www.wowhead.com/classic/quest=37,"Subject: ""For us without Coordinates""
When you get the quest ""Find the lost Guards"" swim or walk north along the river. You will get to a point where the river forks and where it forks is a tiny tiny little island (not to be mistaken with the huge island). When you get to the tiny island go to the northern most point of it and turn to the left (west). You should see the small waterfall. Swim past that small waterfall and go onto the main land. You should see a red thingy right in front of you once you get onto the main land, which is the first body you need to get. That will give you the quest to find Rolf's body around the Murlocs. So now go back in the river, swim to the east side of the river and go along until you find the first Murloc camp. If you swim to the end of the first camp, you will see 3 huts together and if you look a little past that, there are 2 huts together further away from the water. Look on the ground, to the right of these two huts and you should another red thingy, which is the second body. | Malakai - 72,60 (Corpse)
Rolf - 79,55 (Corpse) | Subject: ""<Blank>""
/tloc 72,60 | Subject: ""location""
If you have Cosmos,

72,60 is Malakai's body,
79,55 is Rolf's body. | Subject: ""<Blank>""
72 60 and 79 55 | The guards are dead and you're pretty much finding their remains, the first one is to the left of the river flowing south from the lake, the other one is by the murlocs. This one is hard to get because he is surrounded by 3 or 4 murlocs that like to aggro friends. It's much easier if you have a group. | Coords: 72, 60"
38,Westfall Stew,https://www.wowhead.com/classic/quest=38,
39,Deliver Thomas' Report,https://www.wowhead.com/classic/quest=39,
40,A Fishy Peril,https://www.wowhead.com/classic/quest=40,"Subject: ""Remy Two-Times: Troll""
Remy is exactly the kind of guy who hears a rumor and reports it immediately. He's like those guys in the general forums saying ""OMG i herd dat BGs giv experience gg blizz!"" Don't listen to a thing he says, it's just the latest rumor. GG Remy, GG."
41,Classic Quests,https://www.wowhead.com/classic/quest=41,
42,Classic Quests,https://www.wowhead.com/classic/quest=42,
43,Classic Quests,https://www.wowhead.com/classic/quest=43,
44,Classic Quests,https://www.wowhead.com/classic/quest=44,
45,Discover Rolf's Fate,https://www.wowhead.com/classic/quest=45,"Subject: ""you and your nonsense decimals""
standard world of warcraft doesn't operate in decimal coordinates, yes i agree that they'd be more accurate, but for the majority, myself included, the regular coordinates (79,55) work great for most of us, and yes, i did in fact complete calculus 2 by my senior year of highschool | 79, 55 - Rolf's corpse | Subject: ""Discover Rolf's Fate""
Actually Rolf's remains (which look like a bunch of flesh with ribs sticking out from the fleshy mass) is located at the northern most end of the first Murloc village on the eastern shore (or at least that is where I found it). | Subject: ""79,55""
79,55 is correct, fairly easy, just dont aggro too many | Upon picking up the corpse, you'll get the quest description above. If you look northeast past the river and rocks, you can see some murlocs. If you head in that direction you will come to a lot of Murloc Huts. The body is in that direction right in the middle of the intersection between two huts. I recommend you bring a friend for this one, it's tough at level 8 or 9."
46,Bounty on Murlocs,https://www.wowhead.com/classic/quest=46,"Subject: ""Possible Pre-Req""
I *think* the pre-req for this quest is Deliver Thomas' Report. | The murlocs are located upstream the river and to the northeast. They are easily spotted by their island-style huts, and the fins don't take too long to drop but the murlocs are very difficult to face alone at level 10. Tough quest imho. | Though not noted in the quest hierarchy/dependencies, this quest is not available from Guard Thomas until you have delivered his report to Marshal Dughan."
47,Gold Dust Exchange,https://www.wowhead.com/classic/quest=47,
48,Sweet Amber,https://www.wowhead.com/classic/quest=48,
49,Sweet Amber,https://www.wowhead.com/classic/quest=49,
50,Sweet Amber,https://www.wowhead.com/classic/quest=50,
51,Sweet Amber,https://www.wowhead.com/classic/quest=51,
52,Protect the Frontier,https://www.wowhead.com/classic/quest=52,"Subject: ""coords""
87,66 area. you will start to see prowlers off the road (eastern end of road)to your left hand side | This quest is quite spread out throughout eastern Elwynn. Directly north of the guard who gives you the quest is a Prowler den, which contains about 4 or 5 prowlers depending on the respawn, and the bears are scattered across Elwynn's eastern side completely sporatically. If you want to be able to do this quest faster though, there is a huge encampment east called the Eastvale Logging Camp which contains lots of Prowlers and Bears outside of it, along with the proper materials for the ""A Bundle of Wood"" quest. I suggest going to Eastvale to complete this quest."
53,Sweet Amber,https://www.wowhead.com/classic/quest=53,
54,Report to Goldshire,https://www.wowhead.com/classic/quest=54,"Subject: ""How do you do this""
I dont know ho to do this i cant find him. can someone help me?"
55,Morbent Fel,https://www.wowhead.com/classic/quest=55,
56,The Night Watch,https://www.wowhead.com/classic/quest=56,
57,The Night Watch,https://www.wowhead.com/classic/quest=57,
58,The Night Watch,https://www.wowhead.com/classic/quest=58,
59,Cloth and Leather Armor,https://www.wowhead.com/classic/quest=59,"Subject: ""exact location""
Eastvalle logging camp 79,68 | Subject: ""eastvale logging camp""
she is at 78.69 in the eastvale logging camp which is near redridge mountains"
60,Kobold Candles,https://www.wowhead.com/classic/quest=60,
61,Shipment to Stormwind,https://www.wowhead.com/classic/quest=61,
62,The Fargodeep Mine,https://www.wowhead.com/classic/quest=62,"Subject: ""38 82...""
38 82 | Subject: ""The real cords""
The cords are 38,81 CONFIRMED | Go stright south from Goldshire, and around the rock to the south side.

or 39.81"
63,Call of Water,https://www.wowhead.com/classic/quest=63,
64,The Forgotten Heirloom,https://www.wowhead.com/classic/quest=64,"Subject: ""Screenshot""
Hey thanks for the awesomely useless picture | Subject: ""correct location of the watch""
the correct location of the watch is 49,19 | Coordinate: 49,19

The pocket watch is inside a cupboard that you can interact with. The cupboard itself is inside a small house that has 2 guards. One is a level 12 and another is a level 15 named. They are connected to each other, meaning that if you pull either of them, you will pull both.

Be extra careful especially if you are below level 15. My advice would be to kill the lower level first and then run away and heal up. And then come again to kill the other one. | Subject: ""Coord and hints""
You can find the watch at:
49,19
[If you run on the road south away from the man you took the quest from, keep right.  It's the first farm to your right named Furlbrow's Pumpkin Patch.  You'll see a barn to the left and a house on the right, in front of all that is a large field.  The watch is inside the house, inside a dresser.]

There are two guards inside the building--level 12ish humanoids.

Rewards:
10x Freshly Baked Bread
10x Ice Cold Milk

Turn in (or take) the quest at:
60,19
[Without coords: Running from Elwynn Forest into Westfall, the guy greets you just after the bridge when you first enter Westfall.] | this quest is fairly easy, you can complete it without even killing anything, just go to the outside of the house and find where the pointer turns to gear. you should be able to pick the watch from the outside.(its the right wall as you face the door) | Subject: ""very easy""
you do not have to get in the house to finish the quest. when you're looking at the front door go to the left side of the building. get very close to the wall and you can open the locker through the wall. | Subject: ""cheat?""
You dont actually have to enter the house, just go to the left side of it (Side closest tot he barn) and approach the window. You can target the wardrobe from outside and get the watch"
65,The Defias Brotherhood,https://www.wowhead.com/classic/quest=65,
66,The Legend of Stalvan,https://www.wowhead.com/classic/quest=66,
67,The Legend of Stalvan,https://www.wowhead.com/classic/quest=67,
68,The Legend of Stalvan,https://www.wowhead.com/classic/quest=68,
69,The Legend of Stalvan,https://www.wowhead.com/classic/quest=69,
70,The Legend of Stalvan,https://www.wowhead.com/classic/quest=70,
71,Report to Thomas,https://www.wowhead.com/classic/quest=71,
72,The Legend of Stalvan,https://www.wowhead.com/classic/quest=72,
73,<TXT> No Reward,https://www.wowhead.com/classic/quest=73,
74,The Legend of Stalvan,https://www.wowhead.com/classic/quest=74,
75,The Legend of Stalvan,https://www.wowhead.com/classic/quest=75,
76,The Jasperlode Mine,https://www.wowhead.com/classic/quest=76,"Subject: ""these are the real cordinates""
(61,54)... i was looking for awhile till i found out that the guy that posted the other coordinates was wrong | Subject: ""the correct one""
the correct coordinate is 62.53 | Subject: ""Level""
I did it at level 8 and it was pretty tough so i think it should be done at level 9 or 10. | Subject: ""Location completes quest""
I'm a lvl 11 Dwarf Rogue. First I went South at Goldshire for some ungodly reason. I than went East. I kept goin till I found the tower of Azora or whatever it is. Once I discovered that, the mine was visible on my map. North West of Tower, I headed there, stealthed in and completed quest at coord 60.50. I than just stealthed out. Only took a minuete. Hope this helps."
77,A Sticky Situation,https://www.wowhead.com/classic/quest=77,"Subject: ""Locations of the Horde Supply Crates""
Locations of the Horde Supply Crates

At the troll ruins (with the green oozes):
loc 45,41
loc 47,40
Near ruins/lake under a tree:
loc 47,38
Outside the cave entrance:
loc 57,38
Inside the cave:
loc 57,43 (top of ramp to right of entrance)
loc 57,41 (center pit)
loc 59,41 (east room)
loc 59,42 (east room up ramp)
loc 56,43 (west room) | Subject: ""Horde supply crates""
57,38 just outside cave

Inside cave:

57,41
59,41
59,42
56,46 | Subject: ""In the cave""
Just wanted to clarify that the crates spawn INSIDE the cave only.  The quest giver and some others were sounding like they spawned outside but I wasted a lot of time to find out otherwise. | Subject: ""CRATE AT WATERFALL NOT QUITE THAT QUICK & EASY""
I was bored and not in a fighting mood so I decided to test the theory that you could get all your Honey Ripple bottles from the crate by the waterfall in 5 trips and 25 minutes (respawn every 5 minutes) as suggested above.

The initial crate and the first respawn produced 1 bottle each plus food. The 3rd and 4th crates produced 3 bottles each plus more food. The 5th crate provided 3 more bottles (for 11 in total) and more food.

However, the average respawn rate of the crate was 10 to 12 minutes, so completing the quest this way will take about 50 minutes .

If your a fisherman this may be your idea of a good time...but you get less exp points in the process (not killing anything) and fewer drops etc...so you'll have to decide if this is the best way to complete this quest. | Relatively straight forward quest. Boxes are in Skull Rock, and may require some wait in the event you don't get the required number. They respawn at a decent rate. Was able to get 10 after one trip through.

If you are an Herbalist, make sure you skill level is high enough to get the 3 or 4 Ghost Mushroom spawns inside. | Subject: ""<Blank>""
The quest can be returned to Gilveradin Sunchaser in the Shindigger's Camp in Hinterlands. Coordinates 26,48 (northwest Hinterlands, in the hills between Aerie Peak and Quel'danil Lodge)"
78,The Legend of Stalvan,https://www.wowhead.com/classic/quest=78,
79,The Legend of Stalvan,https://www.wowhead.com/classic/quest=79,
80,The Legend of Stalvan,https://www.wowhead.com/classic/quest=80,
81,Ripple Delivery,https://www.wowhead.com/classic/quest=81,"Subject: ""Location""
sorry Coordinates are 59,36"
82,Noxious Lair Investigation,https://www.wowhead.com/classic/quest=82,"Subject: ""Corr.""
Here are the corr. 35,46 | I did this quest with my lvl 45 warrior last night - it is doable but you have to be careful. The bugs are lvl 47-50 and although the drop rate is high, it is not 100%. I was getting one drop out of three kills. I was killing lvl 47-48 bugs.

A word of caution:

The lvl 50 bug has a VERY small minion. You can mistake it for one of the critters Blizzard put in the game - it is not. Around the lvl 50 bug, look to the ground. It is very small. You might not even be able to click on it that easily, but it is a minion. Their walkpaths are not that similar either. Those two bugs might be far apart from each other. Do not aggro it since it will bring the big one running. | Subject: ""44""
im a 44 rogue and this quest is damn hard. i can take the lvl 47/48s but if theres more then one i have to vanish fo'sho | to find these Bugs, you go south of the pond where you finished the first part of the quest to the Noxious Lair (36,40 to 32,51 ish)

any of these bugs drops the carapace but it is not 100% drop chance.
i don't exactly remember, but i think the bugs lvls are 45 to 50. | After finishing, you can talk to Fizzledowser on the hill again to start a new quest line, https://www.wowhead.com/classic/quest=10 | This quest turns yellow really early, if you want to do it as early as you can then the best place is probably the south side of the nest as there are loads of 47-48 centipaar wasps there (the lowest level centipaar). As stated drop rate is fairly ugly so you might be there for a while. | Subject: ""Ugh""
This quest is a bit of a PIA with the drop rate and pesky horde (I'm on Sargeras).

Killed flying mobs up to level 49 with my 45 war with % to crit gear (cragfist armor, rockpounder, some others). The 49s tested me but besides them I never went below 50% on HP, and thats only because my rockpounder is so slow. I worked on the outside of the crater.

Anyway, drop rate is pretty miserable overall, what I notice even more is that it is difficult to get ANYTHING to drop from these guys. Many times I came up empty on drops.

Not sure about the crawlers - I did kill one and got 1 part from it. The rest from flying insects. The only reason I would go for crawlers is because one of them (I forget which) runs back for help. The rest do not.

Go in with rest XP, though, and its excellent grinding material. Overall I got about 12k XP between the quest that starts this one, the mobs, and this ending quest (including rest XP).

Unless your level 50, going in the middle is, to me, a suicide mission. The are pretty tightly packed in there. I suggest starting at the ramp as a camp and pulling back there, then working out from that. | If you dont go to far in and only attack the bugs on the edges you should be able to keep from aggroing to much i finshed as a lv 45 Hunter | Subject: ""XP & Rep""
3150xp
50s
rep with Gadgetzan increased"
83,Red Linen Goods,https://www.wowhead.com/classic/quest=83,"Subject: ""Red linen goods""
Head towards the Eastval logging camp, before you get there on the left in the tower of azora, Brackwell pumpkin patch is directly across from it on the right. Also if your a Warlock, Surena Caledon can be found in one of the houses to get locket for Warlock quest. | I highly recommend going to the Brackwell Pumpkin Patch. It is the best place to get the drops most definitely.

Brackwell Pumpkin Patch: 69,79

However if you wish to be complicated, here are some others.

5 or 6 at - 53,58
1 at -55.5,58.9 | Subject: ""Pumpkin Patch""
Best drops at the pumpkin patch.  They pretty much suck everywhere else in Elwynn. | Subject: ""Location""
five or six dudes at (53,58)"
84,Back to Billy,https://www.wowhead.com/classic/quest=84,"Subject: ""Billy""
Billy is at 42,85
Bye"
85,Lost Necklace,https://www.wowhead.com/classic/quest=85,
86,Pie for Billy,https://www.wowhead.com/classic/quest=86,
87,Goldtooth,https://www.wowhead.com/classic/quest=87,"Subject: ""loc""
41,77 inside the mine | Subject: ""Billy Maclure""
(Lyrics pronounce ""Kobold"" as ""Koh-buld"")
(Sung to ""Billy Jean is Not My Lover"")

I gained a level, she looked at me
The quest was green
I said ""Lady, what do you need?
I am the one
For the quest in the mine, underground.""

She said ""I am the one
For the quest, in the mine, underground.""

She said to go find Billy Maclure
Up in the north
The tension heavy inside me now
I was the one
For the quest, in the mine, underground.

My peeps just whispered to me
""WTF R U!211!/1""
I said ""I've got to track this young brat down !""
He responded quick and asked me
""wut quest u got to do?""
I said ""Bernice has lost the jewel..""
I knew I had to kill Goldtooth, hey hey..

Billy Maclure has got some trouble
He's just a kid, a kid who had to confess
That he stole the lost necklace

I killed legions of all the swine
For a simple pie
Because it seems when it's almost done
The drops just don't come
For the quest, of the boar, on the ground.

So take my carving knife
Just remember to always look twice.

He told me he dropped the jewelry, down by Fargodeep
A gold-toothed kobold just picked it up and ran down the mine
For the quest, in the mine, underground

Going deeper always scared me
Ever since I was a newb
Don't go around, killing grey mobs' loot.
When I descended in that cavern
To the smell of Kobold puke
I knew what I had to do
To bring the head of Goldtooth back to her..

Billy Maclure has got some trouble
He's just a kid, a kid who has to confess
That he stole the lost necklace
Yes, he's got to confess
That he stole that lost necklace

Billy Maclure has got some trouble..
Billy Maclure has got some trouble..
Walk down, make a quick turn-in, just 3 more bubbles
Level to 60 and reduce this quest to rubble
Log out for an hour and my XP is doubled.."
88,Princess Must Die!,https://www.wowhead.com/classic/quest=88,"Subject: ""Princess""
cords are 69,78 | Subject: ""what a sense of humor...""
...the developers must have to make this such a pain in the butt. First of all, for all you guys above who said ""lol, so easy, soloed with my lvl 13 whatever"", soloing something you are 4 levels above doesn't give you bragging rights, okay? Jeez.
    I imagine that melee classes or pet classes wouldn't have much trouble doing this at the appropriate level; there are 3 mobs but they are all no more than lvl 9. I know as a rogue I could have done this easily.
However, with my mage, this was a pain, and I couldn't solo it until I hit lvl 12, even then I only managed to kill 2 of the mobs and barely managed to outrun the survivor.
So if you're a cloth wearer, take a friend or get some levels.
    Princess does serious damage, breaks Sheep easily, and her ""entourage"" have rogue-like Sprint ability, making it difficult to escape them...more often than not they will run you down and kill you. Sprint-enabled pigs? rofl. seriously.
  I did it by sheeping one of her escorts (as noted, Princess was able to break my Sheep really fast on an earlier try so didn't bother with her), then frost nova, backed up and then unloaded on princess. Then I ran like hell and came back later for the collar. I'm an alchemist, which was useful b/c i needed to use a health potion, the pigs all do pretty high damage and quickly. I found The Collector quest to be an easier solo although it is higher level. Conveniently, they're in the same location, so knock yourself out. | ""She"" is lvl 9, has 2 bodyguards lvl 7, always do this in group.

Coordinations: 69, 79 | Subject: ""Location""
Go east on the road from Goldshire, watch for the blue tower on your left (north), which is the Tower of Azora.  Head southeast from the tower and you will find the pumpkin patch.  Princess (lvl 9)is wandering around with 2 other adds (lvl 7s).  Watch out for the defias around the farm too. | Subject: ""princess Must Die""
the princess is not in the house.

it is a pig on the field at 69,78 kill her :)"
89,The Everstill Bridge,https://www.wowhead.com/classic/quest=89,
90,Seasoned Wolf Kabobs,https://www.wowhead.com/classic/quest=90,
91,Solomon's Law,https://www.wowhead.com/classic/quest=91,"The camp can be found at 84, 59 | This quest is a pain if you rely on shadow damage; the gnolls seem to be about 20-25% shadow resistant. | Subject: ""<Blank>""
coords 80, 55 | not a nice drop rate"
92,Redridge Goulash,https://www.wowhead.com/classic/quest=92,
93,Dusky Crab Cakes,https://www.wowhead.com/classic/quest=93,
94,A Watchful Eye,https://www.wowhead.com/classic/quest=94,"Subject: ""Scoop""
Here's the scoop, guys.  Approach the statue from the south, following the trail that leads from Render's Valley to the Tower.  If you follow the edge of the mountains when approaching the statue you should have no problems.  Do NOT approach the tower by following the road east from Alther's Mill.  That direction is thick with mobs lvl 24-26.

North from Renders Valley: Extrememly easy
East from Alther's Mill:  Painfully annoying | Subject: ""Lion statue location""
Its at 84,46 | The statue is on 84, 46 for those who can't find it...If you don't have Cords..its up the path from Lakeshire then follow the fork to the right. Head east till you see the tower on the right (past the castle) the statue is on the left facing the tower. Just right click on the statue. Remember to accept the follow on quest."
95,Sven's Revenge,https://www.wowhead.com/classic/quest=95,"You should look for a small dirt at 49, 78 - Duskwood.
It's not the SOUTH farm from Sven (even though the quest says so). It's south east, Yorgen Farmstead. | Subject: ""Svan's revenge""
my guess is that those who can not find the loose dirt are at the wrong farm.  I spent a whole lot of time at the Addler Stead in the far south west, but the quest is actually in the Yorgen Farmstead in the middle of the area | Subject: ""Location""
Travel to the back of the Yorgen Farmstead, which is opposite the Twilight Grove and Vul'Gol Ogre Mound at the fork in the road. Keep an eye out for Defias rogues lurking in the fields. Between the two buildings, behind the big tree stump, there is a mound of dirt. This is where the book is, return to Sven with the book. | This also begins a very long series that ends up having you kill Morbent Fel. This series alone can level you and get some good Loot along the way. | Subject: ""Easy way to solve this quest""
People keep on asking for grps for this quest while it isnt really needed, the grave is between the 2 houses, and u can sneak in from behind without any major problems, u might need to kill 1 humanoid | Subject: ""TLOC""
the correct coords are 50,75!"
96,Call of Water,https://www.wowhead.com/classic/quest=96,
97,The Legend of Stalvan,https://www.wowhead.com/classic/quest=97,
98,The Legend of Stalvan,https://www.wowhead.com/classic/quest=98,
99,Arugal's Folly,https://www.wowhead.com/classic/quest=99,
100,Call of Water,https://www.wowhead.com/classic/quest=100,
101,The Totem of Infliction,https://www.wowhead.com/classic/quest=101,"Subject: ""The quest""
ghoul claw from flesh eater, and bone chewer.
Vial from pygmyspider
skeleton fingers from skeletal fiend, horror, healer.

All in raven hills | Ghoul Fangs can be gotten easier from the ones in the Raven Hill Cemetery (around 20,36). They're only L24-25 there as opposed to L28-29 at Mistmantle (77,36). | Fingers: 81,59 off of the Skeletons
Fangs: 77,36 off of the Ghouls
Vials: Found on spiders along the coasts and pretty much all over.

The reward is pretty fun for a warlock, mage, or priest. It's not the best but if you're grinding it may entertain you a little bit.

- SJ | Ghoul fangs have a low drop rate, so you will be killing for a while. | Subject: ""LOCATION""
Spiders,skeletals are in cemetry everyone knows..
Ghouls are 25,34"
102,Patrolling Westfall,https://www.wowhead.com/classic/quest=102,"Subject: ""Level 12 mobs at 43,14 - North of Jangolode Mine""
Found a nice camp of Gnoll levels 11 and 12 at 43,14 a little north of Jangolode Mine.

They seemed to drop the Paws about 25% of the time!

Good luck! :D | Subject: ""<blank>""
it's at 57,14 above The Jensen Stead | Subject: ""Patience""
this quest is not too hard to complete IF YOU TAKE YOUR TIME! the gnolls are at the south end of the zone (right by the bridge to Duskwood) If you wait about 1 minute you'll see that one of the gnolls will leave the rest of the pack. Wait for this and attack the one gnoll, making sure not to link the others. Pull the one away from the pack and kill them one at a time. You'll probably go through about 20 gnolls to get the 8 gnoll paws. | I did not have any luck killing Gnolls scattered around in Westfall. I found all my Gnoll Paws at a Gnoll camp by the Alexston Farmstead, near the coast, at 30,50. | Subject: ""Location for lower level Gnolls""
In Westfall: 52,17 near Furlbrow's Pumpkin Farm and also on the ridge at 56,15. Mobs are levels 11-13. Just be careful because they BAF (Bring a Friend - come in groups, etc)

Edited, Apr 12th 2007 3:14pm by Sorvendall"
103,Keeper of the Flame,https://www.wowhead.com/classic/quest=103,"Subject: ""Harvest Monsters""
The Harvest monsters can be found on the fields of the farmyards.  They are the mechanical monsters with Harvest in their name. | You can get the flask of oil off of the Harvest watchers you kill in the earlyer quest ""The Killing Feilds"". | Subject: ""eh?""
this quest is horde and alliance i did it with my tauren hunter | Subject: ""Lighthouse""
I found the lighthouse at 31.87"
104,The Coastal Menace,https://www.wowhead.com/classic/quest=104,
105,"Alas, Andorhal",https://www.wowhead.com/classic/quest=105,
106,Young Lovers,https://www.wowhead.com/classic/quest=106,"Subject: ""tloc""
29,86"
